Row Labels,Session_Length,Max_Page_Reached,Price_Count,Price_Variance,High_Intent,,,,,,,,,
37,7,2,7,191.4761905,0,,,,,,,,,
38,4,2,4,146.9166667,0,,,,,,,,,
39,2,2,2,200,0,,,,,,,,,
40,7,2,7,304.2857143,0,,,,,,,,,
41,2,2,2,12.5,0,,,,,,,,,
42,1,1,1,0,0,,,,,,,,,
43,23,2,23,68.75494071,0,,,,,,,,,
44,11,4,11,102.4545455,0,,,,,,,,,
45,3,2,3,206.3333333,0,,,,,,,,,
46,1,1,1,0,0,,,,,,,,,
47,5,3,5,214.3,0,,,,,,,,,
48,3,1,3,0,0,,,,,,,,,
49,41,4,41,221.004878,0,,,,,,,,,
50,4,2,4,158.25,0,,,,,,,,,
51,4,1,4,435.6666667,0,,,,,,,,,
52,9,1,9,195.1944444,0,,,,,,,,,
53,3,1,3,75,0,,,,,,,,,
54,4,1,4,166,0,,,,,,,,,
55,8,1,8,56.69642857,0,,,,,,,,,
56,9,2,9,196.4444444,0,,,,,,,,,
57,3,4,3,75,0,,,,,,,,,
58,6,2,6,339.7666667,0,,,,,,,,,
59,2,3,2,0,1,,,,,,,,,
60,6,1,6,100.3,0,,,,,,,,,
61,6,2,6,189.4666667,0,,,,,,,,,
62,1,1,1,0,0,,,,,,,,,
63,5,1,5,155,0,,,,,,,,,
64,14,2,14,129.9175824,0,,,,,,,,,
65,4,2,4,314.9166667,0,,,,,,,,,
66,3,2,3,8.333333333,0,,,,,,,,,
67,21,4,21,147.5904762,0,,,,,,,,,
68,2,1,2,40.5,0,,,,,,,,,
69,12,4,12,92.56818182,0,,,,,,,,,
70,3,2,3,120.3333333,0,,,,,,,,,
71,1,1,1,0,0,,,,,,,,,
72,1,1,1,0,0,,,,,,,,,
73,1,2,1,0,1,,,,,,,,,
74,7,3,7,115.6190476,0,,,,,,,,,
75,1,1,1,0,0,,,,,,,,,
76,15,5,15,67.38095238,0,,,,,,,,,
77,6,1,6,65.46666667,0,,,,,,,,,
78,1,2,1,0,1,,,,,,,,,
79,12,2,12,165.8409091,0,,,,,,,,,
80,3,1,3,33.33333333,0,,,,,,,,,
81,8,1,8,118.125,0,,,,,,,,,
82,10,3,10,145.0666667,0,,,,,,,,,
83,9,1,9,37.5,0,,,,,,,,,
84,4,2,4,153.6666667,0,,,,,,,,,
85,1,1,1,0,0,,,,,,,,,
86,14,3,14,233.456044,0,,,,,,,,,
87,4,1,4,160.6666667,0,,,,,,,,,
88,6,1,6,66.66666667,0,,,,,,,,,
89,1,2,1,0,1,,,,,,,,,
90,1,1,1,0,0,,,,,,,,,
91,5,1,5,268.2,0,,,,,,,,,
92,1,2,1,0,1,,,,,,,,,
93,1,1,1,0,0,,,,,,,,,
94,13,5,13,171.2564103,0,,,,,,,,,
95,2,4,2,0,1,,,,,,,,,
96,5,4,5,94.3,0,,,,,,,,,
97,1,1,1,0,0,,,,,,,,,
98,1,1,1,0,0,,,,,,,,,
99,9,2,9,95.52777778,0,,,,,,,,,
100,12,1,12,42.99242424,0,,,,,,,,,
101,1,1,1,0,0,,,,,,,,,
102,4,1,4,56.25,0,,,,,,,,,
103,4,1,4,0,0,,,,,,,,,
104,3,1,3,58.33333333,0,,,,,,,,,
105,2,1,2,112.5,0,,,,,,,,,
106,2,1,2,364.5,0,,,,,,,,,
107,27,4,27,89.87464387,0,,,,,,,,,
108,6,1,6,128.6666667,0,,,,,,,,,
109,5,2,5,106.8,0,,,,,,,,,
110,8,4,8,122,0,,,,,,,,,
111,1,1,1,0,0,,,,,,,,,
112,8,2,8,85.125,0,,,,,,,,,
113,9,2,9,151.9444444,0,,,,,,,,,
114,3,2,3,100,0,,,,,,,,,
115,2,4,2,12.5,0,,,,,,,,,
116,3,3,3,160.3333333,0,,,,,,,,,
117,1,3,1,0,1,,,,,,,,,
118,1,1,1,0,0,,,,,,,,,
119,10,3,10,258.4888889,0,,,,,,,,,
120,7,2,7,102.6190476,0,,,,,,,,,
121,8,3,8,69.64285714,0,,,,,,,,,
122,3,1,3,8.333333333,0,,,,,,,,,
123,8,2,8,62.5,0,,,,,,,,,
124,7,4,7,287.6666667,0,,,,,,,,,
125,38,3,38,168.7233286,0,,,,,,,,,
126,2,1,2,200,0,,,,,,,,,
127,6,2,6,52.16666667,0,,,,,,,,,
128,1,1,1,0,0,,,,,,,,,
129,1,1,1,0,0,,,,,,,,,
130,6,3,6,47.5,0,,,,,,,,,
131,3,1,3,75,0,,,,,,,,,
132,9,1,9,271.5277778,0,,,,,,,,,
133,4,1,4,67.33333333,0,,,,,,,,,
134,2,3,2,112.5,0,,,,,,,,,
135,4,3,4,6.25,0,,,,,,,,,
136,1,1,1,0,0,,,,,,,,,
137,3,1,3,8.333333333,0,,,,,,,,,
138,15,5,15,192.1238095,0,,,,,,,,,
139,6,1,6,277.4666667,0,,,,,,,,,
140,4,1,4,50,0,,,,,,,,,
141,4,1,4,122.9166667,0,,,,,,,,,
142,4,3,4,145.6666667,0,,,,,,,,,
143,5,5,5,134.7,0,,,,,,,,,
144,3,3,3,120.3333333,0,,,,,,,,,
145,4,2,4,217,0,,,,,,,,,
146,19,4,19,193.0350877,0,,,,,,,,,
147,1,1,1,0,0,,,,,,,,,
148,6,2,6,204.3,0,,,,,,,,,
149,4,1,4,8.333333333,0,,,,,,,,,
150,1,1,1,0,0,,,,,,,,,
151,1,1,1,0,0,,,,,,,,,
152,4,1,4,41.66666667,0,,,,,,,,,
153,6,3,6,267.4666667,0,,,,,,,,,
154,4,2,4,36.91666667,0,,,,,,,,,
155,2,1,2,420.5,0,,,,,,,,,
156,1,1,1,0,0,,,,,,,,,
157,32,4,32,110.297379,0,,,,,,,,,
158,1,2,1,0,1,,,,,,,,,
159,2,3,2,420.5,0,,,,,,,,,
160,3,4,3,25,0,,,,,,,,,
161,1,1,1,0,0,,,,,,,,,
162,6,3,6,76.66666667,0,,,,,,,,,
163,3,1,3,108.3333333,0,,,,,,,,,
164,4,3,4,56.25,0,,,,,,,,,
165,6,2,6,115.6,0,,,,,,,,,
166,1,2,1,0,1,,,,,,,,,
167,5,1,5,120,0,,,,,,,,,
168,49,4,49,119.9166667,0,,,,,,,,,
169,1,1,1,0,0,,,,,,,,,
170,11,2,11,114.2727273,0,,,,,,,,,
171,8,1,8,73.69642857,0,,,,,,,,,
172,6,2,6,113.4666667,0,,,,,,,,,
173,27,2,27,184.2507123,0,,,,,,,,,
174,12,3,12,74.81060606,0,,,,,,,,,
175,1,1,1,0,0,,,,,,,,,
176,1,1,1,0,0,,,,,,,,,
177,4,2,4,33.33333333,0,,,,,,,,,
178,2,3,2,12.5,0,,,,,,,,,
179,3,2,3,25,0,,,,,,,,,
180,1,1,1,0,0,,,,,,,,,
181,14,5,14,163.7197802,0,,,,,,,,,
182,9,1,9,65.27777778,0,,,,,,,,,
183,18,1,18,179.4117647,0,,,,,,,,,
184,44,4,44,126.3023256,0,,,,,,,,,
185,2,1,2,50,0,,,,,,,,,
186,11,4,11,72.89090909,0,,,,,,,,,
187,9,4,9,37.5,0,,,,,,,,,
188,17,2,17,222.2426471,0,,,,,,,,,
189,2,1,2,12.5,0,,,,,,,,,
190,5,3,5,161.8,0,,,,,,,,,
191,1,4,1,0,1,,,,,,,,,
192,19,3,19,211.497076,0,,,,,,,,,
193,6,2,6,166,0,,,,,,,,,
194,12,3,12,110.6060606,0,,,,,,,,,
195,7,4,7,11.9047619,0,,,,,,,,,
196,31,4,31,136.2365591,0,,,,,,,,,
197,8,1,8,166.6964286,0,,,,,,,,,
198,5,1,5,49.7,0,,,,,,,,,
199,1,1,1,0,0,,,,,,,,,
200,6,3,6,459.4666667,0,,,,,,,,,
201,30,4,30,89.63333333,0,,,,,,,,,
202,4,1,4,56.25,0,,,,,,,,,
203,3,1,3,8.333333333,0,,,,,,,,,
204,1,1,1,0,0,,,,,,,,,
205,2,2,2,180.5,0,,,,,,,,,
206,10,2,10,146.5444444,0,,,,,,,,,
207,11,1,11,77,0,,,,,,,,,
208,1,1,1,0,0,,,,,,,,,
209,1,1,1,0,0,,,,,,,,,
210,11,1,11,143.7636364,0,,,,,,,,,
211,19,3,19,190.3684211,0,,,,,,,,,
212,25,4,25,35.41666667,0,,,,,,,,,
213,10,2,10,180.2777778,0,,,,,,,,,
214,6,2,6,4.8,0,,,,,,,,,
215,6,2,6,88.26666667,0,,,,,,,,,
216,6,2,6,151.4666667,0,,,,,,,,,
217,7,3,7,185.2857143,0,,,,,,,,,
218,11,3,11,214.2545455,0,,,,,,,,,
219,2,1,2,12.5,0,,,,,,,,,
220,31,3,31,200.9247312,0,,,,,,,,,
221,2,1,2,112.5,0,,,,,,,,,
222,9,2,9,143.25,0,,,,,,,,,
223,1,1,1,0,0,,,,,,,,,
224,1,1,1,0,0,,,,,,,,,
225,6,4,6,108,0,,,,,,,,,
226,4,2,4,114,0,,,,,,,,,
227,1,1,1,0,0,,,,,,,,,
228,2,1,2,50,0,,,,,,,,,
229,13,1,13,263.1410256,0,,,,,,,,,
230,11,1,11,115.6181818,0,,,,,,,,,
231,9,3,9,248.8611111,0,,,,,,,,,
232,7,3,7,269.8095238,0,,,,,,,,,
233,6,2,6,14.16666667,0,,,,,,,,,
234,9,3,9,124.1111111,0,,,,,,,,,
235,3,1,3,158.3333333,0,,,,,,,,,
236,14,3,14,118.7252747,0,,,,,,,,,
237,2,1,2,180.5,0,,,,,,,,,
238,4,5,4,253.5833333,0,,,,,,,,,
239,31,5,31,133.6946237,0,,,,,,,,,
240,3,3,3,52,0,,,,,,,,,
241,1,1,1,0,0,,,,,,,,,
242,10,3,10,222.2666667,0,,,,,,,,,
243,1,4,1,0,1,,,,,,,,,
244,14,4,14,316.3791209,0,,,,,,,,,
245,4,2,4,22.91666667,0,,,,,,,,,
246,1,1,1,0,0,,,,,,,,,
247,16,2,16,92.89583333,0,,,,,,,,,
248,9,3,9,118.5277778,0,,,,,,,,,
249,3,4,3,58.33333333,0,,,,,,,,,
250,11,1,11,188.8909091,0,,,,,,,,,
251,2,2,2,50,0,,,,,,,,,
252,2,1,2,0,0,,,,,,,,,
253,25,3,25,309.3733333,0,,,,,,,,,
254,17,1,17,256.8897059,0,,,,,,,,,
255,2,3,2,50,0,,,,,,,,,
256,2,4,2,12.5,0,,,,,,,,,
257,9,1,9,377.2777778,0,,,,,,,,,
258,3,1,3,210.3333333,0,,,,,,,,,
259,1,1,1,0,0,,,,,,,,,
260,2,1,2,12.5,0,,,,,,,,,
261,13,3,13,143.7307692,0,,,,,,,,,
262,13,5,13,109.8974359,0,,,,,,,,,
263,2,2,2,98,0,,,,,,,,,
264,12,3,12,47.53787879,0,,,,,,,,,
265,1,1,1,0,0,,,,,,,,,
266,5,1,5,17.5,0,,,,,,,,,
267,15,1,15,85.11428571,0,,,,,,,,,
268,4,1,4,108.3333333,0,,,,,,,,,
269,2,1,2,0,0,,,,,,,,,
270,7,1,7,30.14285714,0,,,,,,,,,
271,5,1,5,392.8,0,,,,,,,,,
272,1,1,1,0,0,,,,,,,,,
273,17,2,17,153.2352941,0,,,,,,,,,
274,1,1,1,0,0,,,,,,,,,
275,16,4,16,111.7291667,0,,,,,,,,,
276,4,4,4,435.6666667,0,,,,,,,,,
277,29,5,29,140.7068966,0,,,,,,,,,
278,21,3,21,200.5904762,0,,,,,,,,,
279,20,3,20,74.25263158,0,,,,,,,,,
280,1,1,1,0,0,,,,,,,,,
281,10,2,10,109.7333333,0,,,,,,,,,
282,6,2,6,116.8,0,,,,,,,,,
283,2,1,2,112.5,0,,,,,,,,,
284,1,1,1,0,0,,,,,,,,,
285,1,2,1,0,1,,,,,,,,,
286,2,1,2,12.5,0,,,,,,,,,
287,13,4,13,104.974359,0,,,,,,,,,
288,2,4,2,50,0,,,,,,,,,
289,4,1,4,106.9166667,0,,,,,,,,,
290,5,3,5,67.5,0,,,,,,,,,
291,6,1,6,148,0,,,,,,,,,
292,46,3,46,134.3714976,0,,,,,,,,,
293,1,3,1,0,1,,,,,,,,,
294,6,1,6,105.7666667,0,,,,,,,,,
295,10,3,10,40.67777778,0,,,,,,,,,
296,8,3,8,83.42857143,0,,,,,,,,,
297,1,1,1,0,0,,,,,,,,,
298,1,1,1,0,0,,,,,,,,,
299,4,2,4,208.25,0,,,,,,,,,
300,3,1,3,160.3333333,0,,,,,,,,,
301,12,2,12,105.4242424,0,,,,,,,,,
302,2,1,2,0,0,,,,,,,,,
303,1,3,1,0,1,,,,,,,,,
304,8,4,8,200.2678571,0,,,,,,,,,
305,15,1,15,163.5714286,0,,,,,,,,,
306,4,2,4,6.25,0,,,,,,,,,
307,8,4,8,160.2142857,0,,,,,,,,,
308,1,1,1,0,0,,,,,,,,,
309,2,2,2,0,1,,,,,,,,,
310,9,1,9,129.6944444,0,,,,,,,,,
311,1,1,1,0,0,,,,,,,,,
312,3,1,3,25,0,,,,,,,,,
313,1,3,1,0,1,,,,,,,,,
314,13,5,13,203.974359,0,,,,,,,,,
315,1,1,1,0,0,,,,,,,,,
316,6,3,6,58.66666667,0,,,,,,,,,
317,1,1,1,0,0,,,,,,,,,
318,1,5,1,0,1,,,,,,,,,
319,3,1,3,75,0,,,,,,,,,
320,10,2,10,148.7666667,0,,,,,,,,,
321,25,4,25,109.25,0,,,,,,,,,
322,1,1,1,0,0,,,,,,,,,
323,1,2,1,0,1,,,,,,,,,
324,8,3,8,195.2678571,0,,,,,,,,,
325,11,3,11,180.8909091,0,,,,,,,,,
326,9,3,9,103.25,0,,,,,,,,,
327,14,2,14,130.5714286,0,,,,,,,,,
328,3,1,3,607,0,,,,,,,,,
329,4,1,4,132,0,,,,,,,,,
330,8,1,8,266.7857143,0,,,,,,,,,
331,8,3,8,77.35714286,0,,,,,,,,,
332,13,3,13,134.4358974,0,,,,,,,,,
333,3,2,3,8.333333333,0,,,,,,,,,
334,7,4,7,208.2380952,0,,,,,,,,,
335,7,2,7,67.61904762,0,,,,,,,,,
336,8,3,8,156.2142857,0,,,,,,,,,
337,7,3,7,136.2380952,0,,,,,,,,,
338,2,1,2,12.5,0,,,,,,,,,
339,5,2,5,84.7,0,,,,,,,,,
340,4,1,4,112.3333333,0,,,,,,,,,
341,16,5,16,136.2,0,,,,,,,,,
342,32,5,32,131.9425403,0,,,,,,,,,
343,5,5,5,42.5,0,,,,,,,,,
344,4,4,4,267,0,,,,,,,,,
345,8,1,8,103.125,0,,,,,,,,,
346,2,1,2,0,0,,,,,,,,,
347,4,3,4,523.6666667,0,,,,,,,,,
348,8,4,8,78.125,0,,,,,,,,,
349,1,1,1,0,0,,,,,,,,,
350,4,4,4,266.9166667,0,,,,,,,,,
351,1,1,1,0,0,,,,,,,,,
352,1,2,1,0,1,,,,,,,,,
353,2,1,2,12.5,0,,,,,,,,,
354,1,1,1,0,0,,,,,,,,,
355,6,1,6,203.8666667,0,,,,,,,,,
356,3,1,3,8.333333333,0,,,,,,,,,
357,6,4,6,34.16666667,0,,,,,,,,,
358,7,1,7,58.33333333,0,,,,,,,,,
359,1,1,1,0,0,,,,,,,,,
360,27,1,27,142.7948718,0,,,,,,,,,
361,1,1,1,0,0,,,,,,,,,
362,2,1,2,12.5,0,,,,,,,,,
363,6,1,6,352.6666667,0,,,,,,,,,
364,6,2,6,118.6666667,0,,,,,,,,,
365,10,4,10,99.21111111,0,,,,,,,,,
366,6,3,6,153.7666667,0,,,,,,,,,
367,5,1,5,168.3,0,,,,,,,,,
368,1,3,1,0,1,,,,,,,,,
369,4,2,4,92.66666667,0,,,,,,,,,
370,10,5,10,23.61111111,0,,,,,,,,,
371,5,2,5,254.7,0,,,,,,,,,
372,6,2,6,112.1666667,0,,,,,,,,,
373,1,2,1,0,1,,,,,,,,,
374,2,2,2,12.5,0,,,,,,,,,
375,12,4,12,129.3560606,0,,,,,,,,,
376,3,1,3,8.333333333,0,,,,,,,,,
377,4,1,4,91.66666667,0,,,,,,,,,
378,2,1,2,50,0,,,,,,,,,
379,2,1,2,420.5,0,,,,,,,,,
380,8,1,8,170.125,0,,,,,,,,,
381,9,3,9,138.25,0,,,,,,,,,
382,22,4,22,177.0930736,0,,,,,,,,,
383,8,2,8,310.2678571,0,,,,,,,,,
384,3,2,3,48,0,,,,,,,,,
385,1,1,1,0,0,,,,,,,,,
386,10,4,10,133.3777778,0,,,,,,,,,
387,2,1,2,12.5,0,,,,,,,,,
388,1,2,1,0,1,,,,,,,,,
389,1,2,1,0,1,,,,,,,,,
390,1,1,1,0,0,,,,,,,,,
391,17,3,17,102.4338235,0,,,,,,,,,
392,3,1,3,240.3333333,0,,,,,,,,,
393,1,2,1,0,1,,,,,,,,,
394,6,1,6,279.1,0,,,,,,,,,
395,9,2,9,75.11111111,0,,,,,,,,,
396,1,2,1,0,1,,,,,,,,,
397,6,2,6,268.9666667,0,,,,,,,,,
398,1,1,1,0,0,,,,,,,,,
399,1,1,1,0,0,,,,,,,,,
400,1,1,1,0,0,,,,,,,,,
401,1,1,1,0,0,,,,,,,,,
402,1,1,1,0,0,,,,,,,,,
403,1,1,1,0,0,,,,,,,,,
404,1,1,1,0,0,,,,,,,,,
405,1,1,1,0,0,,,,,,,,,
406,1,1,1,0,0,,,,,,,,,
407,1,1,1,0,0,,,,,,,,,
408,15,3,15,186.1714286,0,,,,,,,,,
409,1,1,1,0,0,,,,,,,,,
410,1,1,1,0,0,,,,,,,,,
411,7,2,7,135.5714286,0,,,,,,,,,
412,1,2,1,0,1,,,,,,,,,
413,3,1,3,65.33333333,0,,,,,,,,,
414,4,3,4,86,0,,,,,,,,,
415,4,1,4,33.33333333,0,,,,,,,,,
416,15,2,15,236.2095238,0,,,,,,,,,
417,31,5,31,265.9612903,0,,,,,,,,,
418,2,2,2,0,1,,,,,,,,,
419,2,1,2,2,0,,,,,,,,,
420,26,4,26,188.48,0,,,,,,,,,
421,4,1,4,560.25,0,,,,,,,,,
422,14,4,14,196.3736264,0,,,,,,,,,
423,6,3,6,152.6666667,0,,,,,,,,,
424,10,3,10,169.3444444,0,,,,,,,,,
425,8,1,8,222.2678571,0,,,,,,,,,
426,8,1,8,158.2142857,0,,,,,,,,,
427,3,1,3,192,0,,,,,,,,,
428,5,1,5,32.5,0,,,,,,,,,
429,8,1,8,194.5714286,0,,,,,,,,,
430,1,1,1,0,0,,,,,,,,,
431,2,1,2,12.5,0,,,,,,,,,
432,1,1,1,0,0,,,,,,,,,
433,21,4,21,149.6904762,0,,,,,,,,,
434,2,2,2,12.5,0,,,,,,,,,
435,6,2,6,173.7666667,0,,,,,,,,,
436,1,1,1,0,0,,,,,,,,,
437,3,3,3,177.3333333,0,,,,,,,,,
438,2,1,2,968,0,,,,,,,,,
439,4,1,4,339,0,,,,,,,,,
440,3,1,3,0,0,,,,,,,,,
441,9,2,9,175.9444444,0,,,,,,,,,
442,1,1,1,0,0,,,,,,,,,
443,6,3,6,98.66666667,0,,,,,,,,,
444,6,1,6,87.6,0,,,,,,,,,
445,2,4,2,112.5,0,,,,,,,,,
446,3,2,3,52,0,,,,,,,,,
447,2,1,2,0,0,,,,,,,,,
448,2,1,2,0,0,,,,,,,,,
449,2,1,2,12.5,0,,,,,,,,,
450,1,4,1,0,1,,,,,,,,,
451,16,2,16,169.9958333,0,,,,,,,,,
452,2,1,2,578,0,,,,,,,,,
453,4,1,4,25,0,,,,,,,,,
454,9,4,9,17.36111111,0,,,,,,,,,
455,2,1,2,40.5,0,,,,,,,,,
456,15,5,15,160.6952381,0,,,,,,,,,
457,2,1,2,40.5,0,,,,,,,,,
458,2,3,2,2,0,,,,,,,,,
459,9,2,9,91.36111111,0,,,,,,,,,
460,13,3,13,214.0897436,0,,,,,,,,,
461,4,3,4,334.9166667,0,,,,,,,,,
462,40,2,40,176.5923077,0,,,,,,,,,
463,6,5,6,37.5,0,,,,,,,,,
464,6,2,6,355.1,0,,,,,,,,,
465,5,1,5,106.3,0,,,,,,,,,
466,12,2,12,215.6590909,0,,,,,,,,,
467,2,1,2,180.5,0,,,,,,,,,
468,1,1,1,0,0,,,,,,,,,
469,4,4,4,115.6666667,0,,,,,,,,,
470,3,2,3,27,0,,,,,,,,,
471,5,2,5,67.7,0,,,,,,,,,
472,8,3,8,166,0,,,,,,,,,
473,6,1,6,60,0,,,,,,,,,
474,9,3,9,103.1944444,0,,,,,,,,,
475,2,2,2,288,0,,,,,,,,,
476,4,3,4,288.6666667,0,,,,,,,,,
477,4,2,4,6.25,0,,,,,,,,,
478,16,1,16,117.8958333,0,,,,,,,,,
479,4,4,4,162,0,,,,,,,,,
480,7,3,7,208.8095238,0,,,,,,,,,
481,12,4,12,123.1742424,0,,,,,,,,,
482,10,4,10,144.1,0,,,,,,,,,
483,3,4,3,27,0,,,,,,,,,
484,5,2,5,67.5,0,,,,,,,,,
485,17,3,17,140.4338235,0,,,,,,,,,
486,15,5,15,72.74285714,0,,,,,,,,,
487,5,2,5,136.7,0,,,,,,,,,
488,10,2,10,199.5555556,0,,,,,,,,,
489,5,2,5,74.8,0,,,,,,,,,
490,13,1,13,281.6666667,0,,,,,,,,,
491,1,1,1,0,0,,,,,,,,,
492,3,3,3,145.3333333,0,,,,,,,,,
493,25,4,25,105.5,0,,,,,,,,,
494,3,1,3,27,0,,,,,,,,,
495,3,1,3,108.3333333,0,,,,,,,,,
496,2,1,2,578,0,,,,,,,,,
497,3,3,3,217,0,,,,,,,,,
498,23,4,23,198.1185771,0,,,,,,,,,
499,2,2,2,0,1,,,,,,,,,
500,2,1,2,12.5,0,,,,,,,,,
501,31,3,31,119.2666667,0,,,,,,,,,
502,2,1,2,0,0,,,,,,,,,
503,6,1,6,320.2666667,0,,,,,,,,,
504,6,2,6,69.76666667,0,,,,,,,,,
505,5,1,5,137.8,0,,,,,,,,,
506,4,3,4,144,0,,,,,,,,,
507,3,2,3,4,0,,,,,,,,,
508,10,3,10,144.4888889,0,,,,,,,,,
509,5,2,5,168.2,0,,,,,,,,,
510,2,1,2,0,0,,,,,,,,,
511,4,1,4,106.25,0,,,,,,,,,
512,27,4,27,113.2592593,0,,,,,,,,,
513,33,4,33,102.0075758,0,,,,,,,,,
514,23,5,23,92.41897233,0,,,,,,,,,
515,2,1,2,578,0,,,,,,,,,
516,6,1,6,234.2666667,0,,,,,,,,,
517,7,1,7,153.5714286,0,,,,,,,,,
518,13,3,13,181.8589744,0,,,,,,,,,
519,4,3,4,401.5833333,0,,,,,,,,,
520,7,1,7,125,0,,,,,,,,,
521,2,2,2,0,1,,,,,,,,,
522,19,5,19,108.1637427,0,,,,,,,,,
523,7,5,7,124.9047619,0,,,,,,,,,
524,3,1,3,147,0,,,,,,,,,
525,26,5,26,147.6061538,0,,,,,,,,,
526,16,3,16,107.3958333,0,,,,,,,,,
527,1,2,1,0,1,,,,,,,,,
528,2,1,2,98,0,,,,,,,,,
529,5,4,5,158.7,0,,,,,,,,,
530,4,2,4,80.66666667,0,,,,,,,,,
531,12,4,12,129.3333333,0,,,,,,,,,
532,2,1,2,578,0,,,,,,,,,
533,7,3,7,161.8095238,0,,,,,,,,,
534,11,2,11,118.2181818,0,,,,,,,,,
535,2,2,2,12.5,0,,,,,,,,,
536,6,3,6,54.16666667,0,,,,,,,,,
537,6,2,6,186.2666667,0,,,,,,,,,
538,3,1,3,0,0,,,,,,,,,
539,25,2,25,119.36,0,,,,,,,,,
540,6,1,6,222.6666667,0,,,,,,,,,
541,4,1,4,8.333333333,0,,,,,,,,,
542,25,4,25,128.0833333,0,,,,,,,,,
543,1,1,1,0,0,,,,,,,,,
544,13,3,13,308.5,0,,,,,,,,,
545,1,2,1,0,1,,,,,,,,,
546,2,1,2,98,0,,,,,,,,,
547,6,2,6,68.66666667,0,,,,,,,,,
548,5,3,5,148.7,0,,,,,,,,,
549,1,1,1,0,0,,,,,,,,,
550,9,2,9,120.25,0,,,,,,,,,
551,6,2,6,107.6,0,,,,,,,,,
552,1,1,1,0,0,,,,,,,,,
553,30,3,30,142.891954,0,,,,,,,,,
554,3,3,3,160.3333333,0,,,,,,,,,
555,7,3,7,121.8095238,0,,,,,,,,,
556,16,4,16,163.2625,0,,,,,,,,,
557,2,1,2,50,0,,,,,,,,,
558,2,2,2,0,1,,,,,,,,,
559,1,2,1,0,1,,,,,,,,,
560,4,1,4,160.6666667,0,,,,,,,,,
561,7,2,7,223.3333333,0,,,,,,,,,
562,16,1,16,77.2625,0,,,,,,,,,
563,33,3,33,107.1212121,0,,,,,,,,,
564,3,1,3,280.3333333,0,,,,,,,,,
565,4,2,4,32.25,0,,,,,,,,,
566,1,1,1,0,0,,,,,,,,,
567,1,2,1,0,1,,,,,,,,,
568,3,3,3,25,0,,,,,,,,,
569,1,2,1,0,1,,,,,,,,,
570,1,2,1,0,1,,,,,,,,,
571,2,1,2,12.5,0,,,,,,,,,
572,12,2,12,266.6060606,0,,,,,,,,,
573,2,2,2,0,1,,,,,,,,,
574,9,3,9,254.5,0,,,,,,,,,
575,18,5,18,41.83006536,0,,,,,,,,,
576,1,1,1,0,0,,,,,,,,,
577,2,1,2,200,0,,,,,,,,,
578,9,1,9,256.1111111,0,,,,,,,,,
579,2,4,2,12.5,0,,,,,,,,,
580,1,1,1,0,0,,,,,,,,,
581,5,1,5,86.7,0,,,,,,,,,
582,4,1,4,75,0,,,,,,,,,
583,17,5,17,65.74264706,0,,,,,,,,,
584,26,4,26,61.91538462,0,,,,,,,,,
585,1,1,1,0,0,,,,,,,,,
586,6,2,6,273.7666667,0,,,,,,,,,
587,9,1,9,145.1111111,0,,,,,,,,,
588,2,2,2,112.5,0,,,,,,,,,
